npc	wake_ms	branch	order	priority	guards	kind	a1	a2	a3	place	x	y	z	pattern
207087	15000	0	0	7		spawn	207088	1	0	self	0.0	0.0	0.0	LDF4a_WindPath_Door
207087	15000	0	1	7		despawn_self	0	0	0		0.0	0.0	0.0	LDF4a_WindPath_Door
218893	20000	0	0	5	set_flag_var:0	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_1
218893	20000	0	1	5	set_flag_var:0	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_1
218893	20000	0	2	5	set_flag_var:0	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_1
218893	20000	0	3	5	set_flag_var:0	timer	5000	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_1
218893	20000	1	0	4	set_flag_var:1	spawn	218912	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_1
218893	20000	1	1	4	set_flag_var:1	timer	4000	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_1
218893	20000	2	0	3	set_flag_var:2	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_1
218893	20000	2	1	3	set_flag_var:2	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_1
218893	20000	2	2	3	set_flag_var:2	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_1
218893	20000	2	3	3	set_flag_var:2	timer	1000	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_1
218893	20000	3	0	2	set_flag_var:3	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_1
218893	20000	3	1	2	set_flag_var:3	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_1
218893	20000	3	2	2	set_flag_var:3	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_1
218893	20000	3	3	2	set_flag_var:3	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_1
218893	20000	4	0	1	set_flag_var:4	timer	0	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_1
218893	20000	4	1	1	set_flag_var:4	despawn_self	0	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_1
218894	20000	0	0	5	set_flag_var:0	spawn	218909	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_2
218894	20000	0	1	5	set_flag_var:0	spawn	218909	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_2
218894	20000	0	2	5	set_flag_var:0	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_2
218894	20000	1	0	4	set_flag_var:1	spawn	218910	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_2
218894	20000	1	1	4	set_flag_var:1	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_2
218894	20000	2	0	3	set_flag_var:2	spawn	218911	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_2
218894	20000	2	1	3	set_flag_var:2	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_2
218894	20000	3	0	2	set_flag_var:3	spawn	218909	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_2
218894	20000	3	1	2	set_flag_var:3	spawn	218909	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_2
218894	20000	3	2	2	set_flag_var:3	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_2
218894	20000	4	0	1	set_flag_var:4	timer	0	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_2
218894	20000	4	1	1	set_flag_var:4	despawn_self	0	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_2
218895	20000	0	0	5	set_flag_var:0	spawn	218905	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_3
218895	20000	0	1	5	set_flag_var:0	spawn	218905	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_3
218895	20000	0	2	5	set_flag_var:0	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_3
218895	20000	1	0	4	set_flag_var:1	spawn	218907	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_3
218895	20000	1	1	4	set_flag_var:1	timer	3000	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_3
218895	20000	2	0	3	set_flag_var:2	spawn	218906	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_3
218895	20000	2	1	3	set_flag_var:2	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_3
218895	20000	3	0	2	set_flag_var:3	spawn	218905	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_3
218895	20000	3	1	2	set_flag_var:3	spawn	218905	1	0	self	0.0	0.0	0.0	LDF4b_T1_Portal_3
218895	20000	3	2	2	set_flag_var:3	timer	3000	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_3
218895	20000	4	0	1	set_flag_var:4	timer	0	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_3
218895	20000	4	1	1	set_flag_var:4	despawn_self	0	0	0		0.0	0.0	0.0	LDF4b_T1_Portal_3
218896	20000	0	0	5	set_flag_var:0	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_1
218896	20000	0	1	5	set_flag_var:0	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_1
218896	20000	0	2	5	set_flag_var:0	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_1
218896	20000	0	3	5	set_flag_var:0	timer	5000	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_1
218896	20000	1	0	4	set_flag_var:1	spawn	218912	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_1
218896	20000	1	1	4	set_flag_var:1	timer	4000	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_1
218896	20000	2	0	3	set_flag_var:2	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_1
218896	20000	2	1	3	set_flag_var:2	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_1
218896	20000	2	2	3	set_flag_var:2	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_1
218896	20000	2	3	3	set_flag_var:2	timer	1000	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_1
218896	20000	3	0	2	set_flag_var:3	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_1
218896	20000	3	1	2	set_flag_var:3	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_1
218896	20000	3	2	2	set_flag_var:3	spawn	218913	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_1
218896	20000	3	3	2	set_flag_var:3	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_1
218896	20000	4	0	1	set_flag_var:4	timer	0	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_1
218896	20000	4	1	1	set_flag_var:4	despawn_self	0	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_1
218897	20000	0	0	5	set_flag_var:0	spawn	218909	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_2
218897	20000	0	1	5	set_flag_var:0	spawn	218909	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_2
218897	20000	0	2	5	set_flag_var:0	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_2
218897	20000	1	0	4	set_flag_var:1	spawn	218910	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_2
218897	20000	1	1	4	set_flag_var:1	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_2
218897	20000	2	0	3	set_flag_var:2	spawn	218911	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_2
218897	20000	2	1	3	set_flag_var:2	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_2
218897	20000	3	0	2	set_flag_var:3	spawn	218909	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_2
218897	20000	3	1	2	set_flag_var:3	spawn	218909	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_2
218897	20000	3	2	2	set_flag_var:3	timer	2000	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_2
218897	20000	4	0	1	set_flag_var:4	timer	0	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_2
218897	20000	4	1	1	set_flag_var:4	despawn_self	0	0	0		0.0	0.0	0.0	LDF4b_T2_Portal_2
218898	20000	0	0	5	set_flag_var:0	spawn	218905	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_3
218898	20000	0	1	5	set_flag_var:0	spawn	218905	1	0	self	0.0	0.0	0.0	LDF4b_T2_Portal_3
